Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
56041 Van Dyke,On-Market,Land,56041 Van Dyke Ave,Shelby Township,MI,48316,N/A,,,,,,,,,"$495,000.00 ",No
279 Chase Avenue,On-Market,Retail,279 Chase Ave,Waterbury,CT,6704,N/A,,,6370,$149.14 ,,,"$71,582.00 ",7.53%,"$950,000.00 ",No
Essential Services Center OSF HealthcarePotbellyIHOP,On-Market,Retail,7601 South Cicero Ave,Chicago,IL,60652,Multi,,,10992,$505.16 ,3,,"$388,689.00 ",7.00%,"$5,552,700.00 ",No
616 E Street,On-Market,Hospitality,616 E Street,Clearwater,FL,33756,N/A,,,7213,,,,,,,No
 10 Cap  Medical Office Bldg,On-Market,Office,6911 Tara Blvd,Jonesboro,GA,30236,N/A,,,8578,$93.26 ,,,,,"$800,000.00 ",Yes
2936 Marti Lane,On-Market,Office,2936 Marti Ln,Montgomery,AL,36116,Vacant,,,4462,$145.67 ,,,,,"$650,000.00 ",Yes
106 State Highway,On-Market,Office,106 State Highway,Raynham,MA,2767,Single,,,5582,$404.96 ,1,,"$147,755.00 ",6.54%,"$2,260,500.00 ",No
8735 North Park Blvd,On-Market,Office,8735 North Park Blvd,North Charleston,SC,29406,N/A,,,,,0,,,,"$165,000.00 ",No
488 Oak Tree Ave,On-Market,Retail,488 Oak Tree Ave,South Plainfield,NJ,7080,Single,,,5400,,,,,,,No
8735 N Park Blvd,On-Market,Retail,8735 N Park Blvd,North Charleston,SC,29406,N/A,,,1931,$181.25 ,,,,,"$350,000.00 ",No
8740 Rivers Avenue,On-Market,Office,8740 Rivers Avenue,North Charleston,SC,29406,N/A,,,,,0,,,,"$1,600,000.00 ",No
730 Main St,On-Market,Office,730 Main St,Calhoun,KY,42327,Vacant,,,1796,$100.17 ,,,,,"$179,900.00 ",No
3609 Robinwood Rd.,On-Market,Office,3609 Robinwood Rd.,Gastonia,NC,28054,N/A,,,,,0,,,,"$397,000.00 ",No
2863 N HWY 17,On-Market,Office,2863 N HWY 17,Mt Pleasant,SC,29466,Single,,,,,0,,,4.60%,"$3,100,000.00 ",No
389 Fairmount Avenue North,On-Market,Office,389 Fairmount Avenue North,Lakewood,NY,14750,N/A,,,13108,,,,,,"$110,000.00 ",No
Free-Standing Building Opportunity,On-Market,Retail,10590 W Colfax Ave,Lakewood,CO,80215,N/A,,,3556,$27.00 ,,,,,,Yes
7007 Indiana Ave  STAR ER,On-Market,Office,7007 Indiana Ave,Lubbock,TX,79413,Single,10,10,8500,,,,,6.68%,,No
6482 S Parker Rd,On-Market,Retail,6482 S Parker Rd,Aurora,CO,80016,N/A,,,5307,$28.00 ,,,,,,No
Shoal Creek Pad Site,On-Market,Land,8750 Flintlock Rd,Kansas City,MO,64157,N/A,,,43000,$12.79 ,,,,,"$550,000.00 ",No
6700 Boulder Ave,On-Market,Land,6700 Boulder Ave,Highland,CA,92346,N/A,,,,,,,,,"$575,000.00 ",No
"1403 N State Road 7, Lauderhill FL 33313",On-Market,Industrial,"1403 N State Road 7, Lauderhill FL 33313",Lauderhill,FL,33313,N/A,,,,,,,,,$11.00 ,No
St. Claude C-Store  Healthcare Investment,On-Market,Retail,3200 St Claude Ave,New Orleans,LA,70117,Multi,,5,6300,$317.46 ,3,,"$180,000.00 ",9.00%,"$2,000,000.00 ",No
9107  9125 N. Hwy 24 E,On-Market,Land,9107 & 9125 N. Hwy 24 E,Roanoke,IN,46783,N/A,,,,,,,,,"$495,000.00 ",No
25298 Telegraph,On-Market,Land,25298 Telegraph,Flat Rock,MI,48134,N/A,,,,,,,,,,No
