Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
"Family Dollar - Houston, TX",https://www.crexi.com/properties/522429/texas-family-dollar---houston-tx#,On-Market,Retail,4917 N Shepherd Dr,Houston,TX,77018,Single,20.8,6,9180,$121.04 ,,,"$75,000.00 ",6.75%,"$1,111,111.00 ",No
Family Dollar  Dollar Tree Anchored Shopping Center,https://www.crexi.com/properties/130955/south-carolina-family-dollar-dollar-tree-anchored-shopping-center#,On-Market,Retail,12522-12536 Main St,Williston,SC,29853,Multi,,,20141,$53.82 ,6,,"$81,301.00 ",7.50%,"$1,084,008.00 ",No
Family Dollar - Dollar Tree Net Lease Investment,https://www.crexi.com/properties/530927/tennessee-family-dollar---dollar-tree-net-lease-investment#,On-Market,Retail,3499 Main St,Pikeville,TN,37367,Single,7.4,7.2,16447,$64.69 ,1,,"$74,448.00 ",7.00%,"$1,064,000.00 ",No
8.15 Cap Rate  Family Dollar,https://www.crexi.com/properties/4264/michigan-8-cap-rate-family-dollar#,On-Market,Retail,174 Southfield Rd,Ecorse,MI,48229,Single,,6.8,8400,,,,"$101,955.00 ",8.15%,"$1,250,850.00 ",No
"Family Dollar Store - Middleburg, PA",https://www.crexi.com/properties/111770/pennsylvania-middleburg-family-dollar-store#,On-Market,Retail,212 S Wausau Rd,Middleburg,PA,17842,Multi,,0,12800,$64.06 ,2,,"$79,000.00 ",10.50%,"$820,000.00 ",No
Family Dollar Low Price-Point,https://www.crexi.com/properties/309691/texas-family-dollar-low-pricepoint#,On-Market,Retail,301 N Main St,Andrews,TX,79714,Single,5,4,9000,$56.25 ,1,,"$40,500.00 ",8.00%,"$506,250.00 ",No
Corporate Family Dollar  8 Cap,https://www.crexi.com/properties/498782/missouri-corporate-family-dollar-8-cap#,On-Market,Retail,35 Black Jack Ct,Florissant,MO,63033,Single,,6.2,8872,$112.71 ,,,"$80,000.00 ",8.00%,"$1,000,000.00 ",No
Family Dollar Center NNN Investment,https://www.crexi.com/properties/499091/louisiana-family-dollar-center-nnn-investment#,On-Market,Retail,2116 N Claiborne Ave,New Orleans,LA,70116,Multi,,4,12063,$290.14 ,,,"$260,600.00 ",7.45%,"$3,500,000.00 ",Yes
"Family Dollar RELO Asheville, NC",https://www.crexi.com/properties/394928/north-carolina-family-dollar-relo-asheville-nc#,On-Market,Retail,1598 Patton Ave,Asheville,NC,28806,Single,10.7,8.5,8400,$239.41 ,,,"$135,748.00 ",6.75%,"$2,011,083.00 ",No
Family Dollar Anchored Strip Center,https://www.crexi.com/properties/209223/kansas-family-dollar-anchored-strip-center#,On-Market,Retail,1530 East 61st St N,Park City,KS,67219,Multi,,,28443,$66.80 ,,,"$184,678.00 ",9.72%,"$1,900,000.00 ",No
