NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
ZCTA5 76177,8600000US76177,92990,6502,ZCTA5 76177,,,76177
ZCTA5 76208,8600000US76208,74813,3758,ZCTA5 76208,,,76208
ZCTA5 76654,8600000US76654,43000,12522,ZCTA5 76654,,,76654
ZCTA5 76939,8600000US76939,-666666666,-222222222,ZCTA5 76939,-,**,76939
ZCTA5 76599,8600000US76599,-666666666,-222222222,ZCTA5 76599,-,**,76599
ZCTA5 76164,8600000US76164,35401,3086,ZCTA5 76164,,,76164
ZCTA5 76129,8600000US76129,-666666666,-222222222,ZCTA5 76129,-,**,76129
ZCTA5 76957,8600000US76957,-666666666,-222222222,ZCTA5 76957,-,**,76957
ZCTA5 76041,8600000US76041,52097,45596,ZCTA5 76041,,,76041
ZCTA5 76082,8600000US76082,60768,5362,ZCTA5 76082,,,76082
ZCTA5 76133,8600000US76133,52583,3283,ZCTA5 76133,,,76133
ZCTA5 76258,8600000US76258,60075,9696,ZCTA5 76258,,,76258
ZCTA5 76650,8600000US76650,51607,26899,ZCTA5 76650,,,76650
ZCTA5 76508,8600000US76508,-666666666,-222222222,ZCTA5 76508,-,**,76508
ZCTA5 76820,8600000US76820,86429,15750,ZCTA5 76820,,,76820
ZCTA5 76008,8600000US76008,118268,10302,ZCTA5 76008,,,76008
ZCTA5 76006,8600000US76006,43112,3158,ZCTA5 76006,,,76006
ZCTA5 76011,8600000US76011,35681,1749,ZCTA5 76011,,,76011
ZCTA5 76021,8600000US76021,68912,2900,ZCTA5 76021,,,76021
ZCTA5 76039,8600000US76039,64385,2422,ZCTA5 76039,,,76039
ZCTA5 76043,8600000US76043,52288,8355,ZCTA5 76043,,,76043
ZCTA5 76052,8600000US76052,105586,15910,ZCTA5 76052,,,76052
ZCTA5 76092,8600000US76092,207127,11575,ZCTA5 76092,,,76092
ZCTA5 76102,8600000US76102,62664,9797,ZCTA5 76102,,,76102
ZCTA5 76107,8600000US76107,62137,3350,ZCTA5 76107,,,76107
ZCTA5 76131,8600000US76131,79033,4326,ZCTA5 76131,,,76131
ZCTA5 76140,8600000US76140,52752,4163,ZCTA5 76140,,,76140
ZCTA5 76155,8600000US76155,51934,7595,ZCTA5 76155,,,76155
ZCTA5 76234,8600000US76234,61645,7327,ZCTA5 76234,,,76234
ZCTA5 76259,8600000US76259,75500,14252,ZCTA5 76259,,,76259
ZCTA5 76262,8600000US76262,107191,5789,ZCTA5 76262,,,76262
ZCTA5 76273,8600000US76273,60739,8577,ZCTA5 76273,,,76273
ZCTA5 76458,8600000US76458,53897,7428,ZCTA5 76458,,,76458
ZCTA5 76623,8600000US76623,39219,23543,ZCTA5 76623,,,76623
ZCTA5 76402,8600000US76402,-666666666,-222222222,ZCTA5 76402,-,**,76402
ZCTA5 82936,8600000US82936,-666666666,-222222222,ZCTA5 82936,-,**,82936
ZCTA5 82834,8600000US82834,51923,5659,ZCTA5 82834,,,82834
ZCTA5 82845,8600000US82845,-666666666,-222222222,ZCTA5 82845,-,**,82845
ZCTA5 82901,8600000US82901,72633,5483,ZCTA5 82901,,,82901
ZCTA5 82941,8600000US82941,89453,18967,ZCTA5 82941,,,82941
ZCTA5 82050,8600000US82050,46420,5808,ZCTA5 82050,,,82050
ZCTA5 82944,8600000US82944,-666666666,-222222222,ZCTA5 82944,-,**,82944
ZCTA5 82945,8600000US82945,47083,36861,ZCTA5 82945,,,82945
ZCTA5 82060,8600000US82060,69306,63442,ZCTA5 82060,,,82060
ZCTA5 82210,8600000US82210,43421,8722,ZCTA5 82210,,,82210
ZCTA5 82217,8600000US82217,-666666666,-222222222,ZCTA5 82217,-,**,82217
ZCTA5 82227,8600000US82227,29856,10966,ZCTA5 82227,,,82227
ZCTA5 82240,8600000US82240,47086,4334,ZCTA5 82240,,,82240
ZCTA5 82301,8600000US82301,60388,4494,ZCTA5 82301,,,82301
ZCTA5 82323,8600000US82323,29375,28544,ZCTA5 82323,,,82323
